frame,time_s,luma_mean,luma_std,r_mean,g_mean,b_mean,entropy,edge_strength,mad_prev,motion_frac
0,0.0,116.44405107291668,41.72631149304325,127.47381944444444,114.54664930555556,102.76112847222223,7.208146560003586,9.004745497658025,0.0,0.0
1,0.03333333333333333,116.44479409722221,41.724769627599905,127.48277777777778,114.54473958333334,102.76395833333333,7.2082145288518635,9.005048917567969,0.018744212962962963,0.0
2,0.06666666666666667,116.44320308680555,41.72436039463551,127.47925347222223,114.54465277777778,102.75315972222222,7.208143435923297,9.005316372656077,0.008078703703703704,0.0
3,0.1,156.22661345833333,16.223625181989853,179.28473958333333,152.77869791666666,122.48411458333334,5.728078909127801,0.42032096089178717,48.59884259259259,0.8509722222222222
4,0.13333333333333333,156.22661345833333,16.223625181989853,179.28473958333333,152.77869791666666,122.48411458333334,5.728078909127801,0.42032096089178717,0.0,0.0
5,0.16666666666666666,156.2096087013889,16.219738240287132,179.26583333333335,152.76182291666666,122.4714236111111,5.729903049937258,0.4246788798959299,0.044583333333333336,0.0
6,0.2,155.4290613298611,18.203244764332208,178.4660763888889,151.97605902777778,121.79911458333333,5.808488704701368,0.5942479669898999,1.0671122685185186,0.01954861111111111
7,0.23333333333333334,153.4529899201389,23.336397110167198,176.02911458333332,150.10003472222223,120.18913194444444,5.983196538015497,1.044988664901033,3.170283564814815,0.055364583333333335
8,0.26666666666666666,151.12635579166667,27.35004739706067,173.1809722222222,147.86427083333334,118.49798611111112,6.1452518372709255,1.526371062903403,4.778616898148148,0.0881712962962963
9,0.3,148.85345134374998,30.783097210797525,170.31102430555555,145.70130208333333,116.89413194444444,6.277822684459449,2.25151338521083,6.543310185185185,0.12074074074074075
10,0.3333333333333333,148.81109821874998,30.86471590027822,170.22454861111112,145.6663888888889,116.90800347222222,6.292308987547632,2.3934877016960927,0.39950810185185187,0.009380787037037036
11,0.36666666666666664,146.4289069375,34.043064117703864,167.30684027777778,143.35184027777777,115.43263888888889,6.438820369973495,2.9774321133623607,8.202517361111111,0.15574074074074074
12,0.4,144.3723336736111,36.33607657015158,164.44114583333334,141.45871527777777,114.13951388888889,6.560773026871157,3.6540313059437564,10.049988425925926,0.18949074074074074
13,0.43333333333333335,143.19235308333333,37.63655443736144,162.4959027777778,140.42074652777777,113.80618055555556,6.641721768538217,4.310514497069885,11.275318287037036,0.2115914351851852
14,0.4666666666666667,143.1444970138889,37.793570629113816,162.39543402777778,140.38340277777777,113.80911458333334,6.647587493962303,4.449753892371996,0.8177835648148148,0.014108796296296296
15,0.5,141.87252502777778,39.03126726160147,160.44215277777778,139.23647569444444,113.30465277777778,6.7042906136633125,5.170459216914498,12.35240162037037,0.23131365740740742
16,0.5333333333333333,141.8541144548611,39.06853057634577,160.40765625,139.22112847222223,113.30326388888889,6.704798172765241,5.2096683875020915,0.6696006944444445,0.012795138888888889
17,0.5666666666666667,140.73699455555555,39.70798620367407,158.85112847222223,138.14911458333333,113.03321180555555,6.74804542870007,5.642048572013721,12.894149305555555,0.24611689814814816
18,0.6,139.28077006944443,40.44826951928628,156.87944444444443,136.7917534722222,112.11548611111111,6.772538946845084,5.991366894075604,12.60832175925926,0.24659722222222222
19,0.6333333333333333,138.0592284097222,41.083819879176886,155.31776041666666,135.62526041666666,111.35022569444445,6.789053233598043,6.247754023683546,12.069027777777778,0.24833333333333332
20,0.6666666666666666,136.95756902430557,42.130080834714704,153.88303819444445,134.58442708333334,110.62677083333334,6.813195832763281,6.638531161261648,11.547008101851851,0.24490162037037036
21,0.7,136.95776604861112,42.13023149760204,153.88319444444446,134.5846701388889,110.62663194444444,6.813218666161703,6.638610942425482,0.00031828703703703706,0.0
22,0.7333333333333333,136.96092547569444,42.73088330952887,153.9582986111111,134.57006944444444,110.59387152777778,6.84159514838101,7.084591159653874,11.905532407407408,0.24207175925925925
23,0.7666666666666667,137.44549678819442,42.944782144771565,154.5362326388889,135.0675,110.67614583333334,6.861282221394815,7.225608407432055,11.386342592592593,0.22832175925925927
24,0.8,137.4239589375,42.93753729518021,154.54600694444446,135.03180555555556,110.70263888888888,6.864822930023633,7.225943530899318,0.05402199074074074,0.0
25,0.8333333333333334,138.00323402777778,42.78746522674101,155.3059375,135.57348958333333,111.1223263888889,6.862736816745388,7.414617863879476,9.963894675925927,0.20059606481481482
26,0.8666666666666667,138.13790271874998,42.924814721916015,155.3981076388889,135.7306076388889,111.15975694444444,6.883203503762516,7.853471927488622,8.774126157407407,0.1707986111111111
27,0.9,138.0749155625,42.90589079745965,155.32381944444444,135.67239583333333,111.08274305555555,6.884858159959419,7.854906397361328,0.08310185185185186,0.0
28,0.9333333333333333,138.00507274999998,42.84470948015498,155.29756944444443,135.5705034722222,111.20201388888889,6.898678079590132,8.082551771268115,7.707725694444444,0.15810185185185185
29,0.9666666666666667,137.26392613541665,43.20853462508222,154.4137673611111,134.86380208333333,110.53972222222222,6.927379628518866,8.298789989657095,6.669126157407407,0.14197916666666666
30,1.0,135.42488121527776,43.69669841717411,152.543125,133.00847222222222,108.95503472222222,6.980034370011101,8.5911588215472,7.238402777777778,0.13647569444444443
31,1.0333333333333334,125.4804618298611,45.90362432315663,142.28487847222223,123.06225694444444,99.9525,7.317130793049998,9.495450779455847,19.295769675925925,0.36396412037037035
32,1.0666666666666667,125.46405925694444,45.87676312254684,142.30362847222221,123.0321875,99.96796875,7.315747583320049,9.494324276365075,0.0719386574074074,0.0
33,1.1,123.21722432638887,47.03050524853775,139.66960069444445,120.80623263888889,98.65442708333333,7.375065227203007,9.897343687827636,13.423130787037037,0.2455439814814815
34,1.1333333333333333,123.19316556250001,47.00745521333481,139.6535590277778,120.77911458333334,98.63706597222222,7.373043325425289,9.8973866554919,0.05686342592592593,0.0
35,1.1666666666666667,124.44963391319445,48.13029235330312,140.35322916666667,122.13138888888889,100.58404513888888,7.401345385387646,9.908402149013128,15.789027777777777,0.2803935185185185
36,1.2,126.83525962499999,47.59930568805575,143.34260416666666,124.3153125,103.18989583333334,7.373614414817995,9.833761119654694,16.02705439814815,0.27836805555555555
37,1.2333333333333334,127.66303430902778,47.41554824343284,144.42246527777777,125.11194444444445,103.58387152777777,7.3800660899303905,9.954165120009087,14.514971064814814,0.25494791666666666
38,1.2666666666666666,127.65822698958333,47.41329447555291,144.4217361111111,125.10559027777778,103.58237847222222,7.37953576980864,9.95538251646753,0.04255787037037037,0.0
39,1.3,128.19212460069443,46.91537281018721,145.23366319444443,125.54432291666667,104.24027777777778,7.36229695211971,9.936463120081815,13.316903935185184,0.2434837962962963
40,1.3333333333333333,126.69859707638888,46.90978926667838,143.27555555555554,124.13819444444445,103.24899305555556,7.357972419849315,10.033181031397945,14.016203703703704,0.24138310185185186
41,1.3666666666666667,125.41479093055554,47.040505710991226,140.86133680555557,123.0207638888889,103.64571180555555,7.401425518806479,10.136280821996817,14.547256944444445,0.2486863425925926
