frame,time_s,rms,peak,spectral_flux,centroid_hz
0,0.0,1e-06,0.0,0.0,0.0
1,0.03333333333333333,1e-06,0.0,0.0,0.0
2,0.06666666666666667,1e-06,0.0,0.0,0.0
3,0.1,9.96947772266571e-05,0.00054931640625,0.9999999999999998,2078.477356844506
4,0.13333333333333333,0.03744170074103066,0.183502197265625,0.3523841321340254,1366.0505688911062
5,0.16666666666666666,0.3923707834349002,0.98492431640625,0.3408335004936701,837.9427836385055
6,0.2,0.5400551797625779,1.0,0.36977165913415166,341.82827215987584
7,0.23333333333333334,0.44709854551214984,1.0,0.35921255136737473,1013.8403913073217
8,0.26666666666666666,0.3435101887348764,1.0,0.25732982666447923,1345.0500273215223
9,0.3,0.2890139756116543,0.965576171875,0.34219669211736087,1702.0514795142076
10,0.3333333333333333,0.30711597735063584,0.965576171875,0.5030011112915036,4072.347484706084
11,0.36666666666666664,0.37780738819473814,0.999969482421875,0.4220459386648217,2252.5111076114927
12,0.4,0.41053427752129856,0.999969482421875,0.37380405693928637,1141.6302748199944
13,0.43333333333333335,0.32625400381471886,0.984588623046875,0.31376478870830715,992.2221845947083
14,0.4666666666666667,0.3000623656974779,0.991363525390625,0.30328436498098704,1126.2875517992973
15,0.5,0.28680060285073367,0.991363525390625,0.4187639170325824,1334.262159587558
16,0.5333333333333333,0.2592135474873797,0.98980712890625,0.40124613858927244,1242.1155037514388
17,0.5666666666666667,0.26882855871479544,0.9794921875,0.3301627055847061,1235.5453331499893
18,0.6,0.23822450465987433,0.9794921875,0.3789112181495209,1315.1648053792976
19,0.6333333333333333,0.17282319022870915,0.50958251953125,0.418220419363883,1307.6556280429759
20,0.6666666666666666,0.15861180074643208,0.40625,0.27225541945013587,1553.0577733819894
21,0.7,0.14584068538776684,0.393768310546875,0.18917159138207612,1655.5008201082348
22,0.7333333333333333,0.19531997209114818,0.612091064453125,0.32056116599086654,2256.1449855261817
23,0.7666666666666667,0.3851539906148895,0.994720458984375,0.5046205993550671,1597.899375580165
